player_id,player_name,salary
192,Langston Galloway,7000000
398,Larry Nance,2272390
350,Lauri Markkanen,4536120
278,LeBron James,35654150
540,Lonnie Walker,2360160
34,Lonzo Ball,7461960
84,Lorenzo Brown,800000
555,Lou Williams,8000000
355,Luc Mbah a Moute,4320500
152,Luka Doncic,6569040
303,Luke Kennard,3275280
310,Luke Kornet,1619260
144,Luol Deng,16747954
456,Malachi Richardson,1569360
77,Malcolm Brogdon,1544951
373,Malcolm Miller,457418
45,Malik Beasley,1773840
379,Malik Monk,3447480
202,Manu Ginobili,2500000
194,Marc Gasol,24119025
208,Marcin Gortat,13565218
46,Marco Belinelli,6153846
146,Marcus Derrickson,77250
385,Marcus Morris,5375000
489,Marcus Smart,11160716
241,Mario Hezonja,6500000
189,Markelle Fultz,8339880
384,Markieff Morris,9173294
111,Marquese Chriss,3206160
78,MarShon Brooks,1656092
31,Marvin Bagley,7314960
554,Marvin Williams,14087500
434,Mason Plumlee,12917808
142,Matthew Dellavedova,9607500
306,Maxi Kleber,1378242
185,Melvin Frazier,1050000
325,Meyers Leonard,10595506
44,Michael Beasley,3500000
101,Michael Carter-Williams,1468082
186,Michael Frazier,47370
304,Michael Kidd-Gilchrist,13000000
439,Michael Porter,2894160
73,Mikal Bridges,3557400
119,Mike Conley,30521115
395,Mike Muscala,5000000
476,Mike Scott,4320500
74,Miles Bridges,3206640
435,Miles Plumlee,12400000
510,Milos Teodosic,6300000
508,Mirza Teletovic,10500000
128,Mitch Creek,56845
129,Mitchell Creek,47370
461,Mitchell Robinson,1485440
35,Mo Bamba,4871280
225,Maurice Harkless,10837079
165,Monta Ellis,2245400
386,Monte Morris,1349383
226,Montrezl Harrell,6000000
537,Moritz Wagner,1764240
527,Myles Turner,3294994
332,Naz Mitrou-Long,77250
57,Nemanja Bjelica,6500000
576,Nene Hilario,3651480
404,Nerlens Noel,1757429
570,Nick Young,284020
39,Nicolas Batum,24000000
500,Nik Stauskas,2161886
291,Nikola Jokic,25467250
377,Nikola Mirotic,12500000
535,Nikola Vucevic,12750000
534,Noah Vonleh,1621415
443,Norman Powell,9367200
23,OG Anunoby,1952760
550,Okaro White,247827
499,Omari Spellman,1622520
27,Omer Asik,11286516
103,Omri Casspi,2176260
438,Otto Porter,26011913
482,Pascal Siakam,1544951
120,Pat Connaughton,1641000
52,Patrick Beverley,5027028
357,Patrick McCaw,964104
374,Patty Mills,11571429
426,Patrick Patterson,5451600
195,Pau Gasol,17133285
197,Paul George,30560700
375,Paul Millsap,29230769
155,PJ Dozier,77250
525,PJ Tucker,7959537
2,Quincy Acy,213948
437,Quincy Pondexter,2165481
121,Quinn Cook,1544951
571,Rade Zagorac,1378242
464,Rajon Rondo,9000000
400,Raul Neto,2100000
11,Rawle Alkins,77250
177,Raymond Felton,2393887
498,Ray Spalding,1023210
87,Reggie Bullock,2500000
272,Reggie Jackson,17043478
497,Richard Solomon,47370
253,Richaun Holmes,1600520
468,Ricky Rubio,14800000
261,RJ Hunter,77250
124,Robert Covington,10464092
557,Robert Williams,1656600
334,Robin Lopez,14357750
313,Rodions Kurucs,1690000
254,Rodney Hood,3472887
362,Rodney McGruder,1544951
32,Ron Baker,4697823
252,Rondae Hollis-Jefferson,2470356
411,Royce O'Neale,1378242
196,Rudy Gay,10087200
203,Rudy Gobert,23491573
548,Russell Westbrook,35665000
16,Ryan Anderson,20421546
24,Ryan Arcidiacono,1349383
76,Ryan Broekhoff,838464
367,Salah Mejri,2098196
140,Sam Dekker,2760094
343,Scott Machado,76236
255,Scotty Hopson,76236
413,Semi Ojeleye,1378242
263,Serge Ibaka,21666667
133,Seth Curry,2795000
399,Shabazz Napier,1942422
201,Shai Gilgeous-Alexander,3375360
376,Shake Milton,77250
231,Shaquille Harrison,1325531
330,Shaun Livingston,8307692
344,Shelvin Mack,2512601
520,Sindarius Thornwell,1378242
315,Skal Labissiere,1544951
247,Solomon Hill,12763467
150,Spencer Dinwiddie,1656092
236,Spencer Hawes,2007058
286,Stanley Johnson,3940401
243,Stephan Hicks,47370
132,Stephen Curry,37457154
82,Sterling Brown,1378242
3,Steven Adams,24157304
396,Sviatoslav Mykhailiuk,1487694
356,Tahjere McCall,47370
198,Taj Gibson,14000000
432,Tarik Phillip,47370
446,Taurean Waller-Prince,2526840
178,Terrance Ferguson,2118840
295,Terrence Jones,198579
466,Terrence Ross,10500000
467,Terry Rozier,3050389
477,Thabo Sefolosha,5250000
568,Thaddeus Young,13764045
433,Theo Pinson,77250
86,Thomas Bryant,1378242
547,Thomas Welsh,77250
348,Thon Maker,2799720
184,Tim Frazier,1832107
223,Tim Hardaway,17325000
390,Timofey Mozgov,16000000
340,Timothe Luwawu-Cabarrot,1880268
319,TJ Leaf,2407560
359,TJ McConnell,1600520
544,TJ Warren,11750000
228,Tobias Harris,14800000
474,Tomas Satoransky,3129187
71,Tony Bradley,1679520
424,Tony Parker,5000000
496,Tony Snell,10607143
126,Torrey Craig,2000000
569,Trae Young,5363280
209,Treveon Graham,1512601
61,Trevon Bluiett,77250
161,Trevon Duval,77250
25,Trevor Ariza,15000000
88,Trey Burke,1795015
342,Trey Lyles,3364249
518,Tristan Thompson,17469565
81,Troy Brown,2752680
105,Troy Caupain,77250
134,Troy Daniels,3258539
560,Troy Williams,77250
106,Tyler Cavanaugh,77250
138,Tyler Davis,77250
153,Tyler Dorsey,1378242
283,Tyler Johnson,19245370
341,Tyler Lydon,1874640
529,Tyler Ulis,77250
573,Tyler Zeller,213948
169,Tyreke Evans,12400000
542,Tyrone Wallace,1349383
107,Tyson Chandler,13585000
292,Tyus Jones,2444052
235,Udonis Haslem,2393887
417,Victor Oladipo,21000000
99,Vince Carter,2393887
162,Vince Edwards,77250
33,Wade Baldwin,1544951
322,Walt Lemon,176250
164,Wayne Ellington,8653076
478,Wayne Selden,1544951
98,Wendell Carter,4446840
190,Wenyen Gabriel,75000
271,Wesley Iwundu,1378242
285,Wesley Johnson,6134000
354,Wesley Matthews,19360228
37,Will Barton,11830358
104,Willie Cauley-Stein,4696874
240,Willy Hernangomez,1496500
108,Wilson Chandler,12800562
353,Yante Maten,385000
179,Yogi Ferrell,3000000
546,Yuta Watanabe,77250
115,Zach Collins,3628920
317,Zach LaVine,19500000
331,Zach Lofton,77250
451,Zach Randolph,11692308
421,Zaza Pachulia,2393887
495,Zhaire Smith,2615160
447,Zhou Qi,1378242
